Year,Country,Top 10% income share,Top 5% income share,Top 1% income share,Top 0.5% income share,Top 0.1% income share,Top 0.01% income share,Top 10-5% income share,Top 5-1% income share,Top 1-0.5% income share,Top 0.5-0.1% income share,Top 0.1-0.01% income share,Top 10% income share-including capital gains,Top 5% income share-including capital gains,Top 1% income share-including capital gains,Top 0.5% income share-including capital gains,Top 0.1% income share-including capital gains,Top 0.01% income share-including capital gains,Top 10-5% income share-including capital gains,Top 5-1% income share-including capital gains,Top 1-0.5% income share-including capital gains,Top 0.5-0.1% income share-including capital gains,Top 0.1-0.01% income share-including capital gains,Top 10% income composition-Wages_ salaries and pensions,Top 10% income composition-Entrepreneurial income,Top 10% income composition-Dividends,Top 10% income composition-Interest Income,Top 10% income composition-Rents,Top 5% income composition-Wages_ salaries and pensions,Top 5% income composition-Entrepreneurial income,Top 5% income composition-Dividends,Top 5% income composition-Interest Income,Top 5% income composition-Rents,Top 1% income composition-Wages_ salaries and pensions,Top 1% income composition-Entrepreneurial income,Top 1% income composition-Dividends,Top 1% income composition-Interest Income,Top 1% income composition-Rents,Top 0.5% income composition-Wages_ salaries and pensions,Top 0.5% income composition-Entrepreneurial income,Top 0.5% income composition-Dividends,Top 0.5% income composition-Interest Income,Top 0.5% income composition-Rents,Top 0.1% income composition-Wages_ salaries and pensions,Top 0.1% income composition-Entrepreneurial income,Top 0.1% income composition-Dividends,Top 0.1% income composition-Interest Income,Top 0.1% income composition-Rents,Top 0.01% income composition-Wages_ salaries and pensions,Top 0.01% income composition-Entrepreneurial income,Top 0.01% income composition-Dividends,Top 0.01% income composition-Interest Income,Top 0.01% income composition-Rents,Top 10-5% income composition-Wages_ salaries and pensions,Top 10-5% income composition-Entrepreneurial income,Top 10-5% income composition-Dividends,Top 10-5% income composition-Interest Income,Top 10-5% income composition-Rents,Top 5-1% income composition-Wages_ salaries and pensions,Top 5-1% income composition-Entrepreneurial income,Top 5-1% income composition-Dividends,Top 5-1% income composition-Interest Income,Top 5-1% income composition-Rents,Top 1-0.5% income composition-Wages_ salaries and pensions,Top 1-0.5% income composition-Entrepreneurial income,Top 1-0.5% income composition-Dividends,Top 1-0.5% income composition-Interest Income,Top 1-0.5% income composition-Rents,Top 0.5-0.1% income composition-Wages_ salaries and pensions,Top 0.5-0.1% income composition-Entrepreneurial income,Top 0.5-0.1% income composition-Dividends,Top 0.5-0.1% income composition-Interest Income,Top 0.5-0.1% income composition-Rents,Top 0.1-0.01% income composition-Wages_ salaries and pensions,Top 0.1-0.01% income composition-Entrepreneurial income,Top 0.1-0.01% income composition-Dividends,Top 0.1-0.01% income composition-Interest Income,Top 0.1-0.01% income composition-Rents,Top 10% capital gains (a),Top 5% capital gains (a),Top 1% capital gains (a),Top 0.5% capital gains (a),Top 0.1% capital gains (a),Top 0.01% capital gains (a),Top 10-5% capital gains (a),Top 5-1% capital gains (a),Top 1-0.5% capital gains (a),Top 0.5-0.1% capital gains (a),Top 0.1-0.01% capital gains (a),Top 10% capital gains (b),Top 5% capital gains (b),Top 1% capital gains (b),Top 0.5% capital gains (b),Top 0.1% capital gains (b),Top 0.01% capital gains (b),Top 10-5% capital gains (b),Top 5-1% capital gains (b),Top 1-0.5% capital gains (b),Top 0.5-0.1% capital gains (b),Top 0.1-0.01% capital gains (b),Number of tax units,Number of tax returns,Income control,Income control-including capital gains,Price index,Average income per tax unit,Average income per tax unit-including capital gains,Top 10% average income,Top 5% average income,Top 1% average income,Top 0.5% average income,Top 0.1% average income,Top 0.01% average income,Bottom 90% average income,Top 10-5% average income,Top 5-1% average income,Top 1-0.5% average income,Top 0.5-0.1% average income,Top 0.1-0.01% average income,P90 income threshold,P95 income threshold,P99 income threshold,P99.5 income threshold,P99.9 income threshold,P99.99 income threshold,Top 10% average income-including capital gains,Top 5% average income-including capital gains,Top 1% average income-including capital gains,Top 0.5% average income-including capital gains,Top 0.1% average income-including capital gains,Top 0.01% average income-including capital gains,Bottom 90% average income-including capital gains,Top 10-5% average income-including capital gains,Top 5-1% average income-including capital gains,Top 1-0.5% average income-including capital gains,Top 0.5-0.1% average income-including capital gains,Top 0.1-0.01% average income-including capital gains,P90 income threshold-including capital gains,P95 income threshold-including capital gains,P99 income threshold-including capital gains,P99.5 income threshold-including capital gains,P99.9 income threshold-including capital gains,P99.99 income threshold-including capital gains,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
1933,United States,45.03,32.49,15.77,11.78,6.05,2.04,12.54,16.72,3.99,5.72,4.01,45.6,33.19,16.46,12.46,6.61,2.34,12.42,16.73,4,5.86,4.26,59.05,15.57,11.67,7.97,5.74,53.77,15.73,15.07,8.79,6.63,44.34,16.55,23.16,9.47,6.49,37.93,17.23,28,10.08,6.77,27.05,16.63,39.54,10.18,6.61,15.65,14.58,57.44,8.18,4.16,71.53,16.18,2.3,5.93,4.06,65.58,16.11,4.71,6.82,6.78,62.96,14.59,9.07,7.68,5.69,49.1,17.84,16.16,9.98,6.93,32.52,17.61,30.94,11.14,7.78,1.97,2.48,3.62,4.19,5.33,6.17,0.6,1.38,1.91,2.95,4.9,3.35,4.4,7.76,9.38,13.42,20.82,0.67,1.72,2.71,4.82,9.35,51757.038,3724,36160,36769.63652,0.0614899,11362,11553.56,51159.05,73822.16,179189.19,267658.92,687910.12,2323091.83,6940.11,28495.94,47480.41,90719.47,162596.12,506223.26,21284.74,34324.19,75951.91,109099.22,285711.49,1069512.74,52686.34,76684.99,190172.63,288022.42,763559.51,2708457.48,6983.25,28687.69,48313.08,92322.84,169138.15,547459.74,21427.97,34926.14,77294.29,113488.82,308985.28,1246928.66,1.712,2.405
1934,United States,45.16,32.99,15.87,11.8,5.82,1.92,12.16,17.13,4.07,5.97,3.9,45.78,33.71,16.4,12.3,6.13,2.07,12.07,17.32,4.1,6.17,4.06,60.24,15.36,12.39,6.53,5.48,52.86,16.33,16.69,7.62,6.5,42.64,17.08,26.11,7.84,6.33,36.31,16.76,31.51,8.85,6.58,26.03,13.6,45.43,8.6,6.34,15.64,9.21,64.64,6.3,4.2,74.47,14.95,3.41,3.78,3.39,65.88,16.54,5.05,5.95,6.58,60.91,17.99,10.55,4.93,5.63,46.23,19.81,18.06,9.09,6.81,31.16,15.77,35.94,9.73,7.4,1.06,1.36,1.85,2.06,2.18,1.64,0.25,0.91,1.23,1.93,2.45,1.73,2.24,3.41,3.96,4.72,4.46,0.28,1.13,1.75,3.21,4.85,52429.938,4094,41600,42030.15175,0.0635502,12485.25,12614.35,56377.25,82389.29,198118.29,294551.84,727101.19,2399533.04,7608.36,30365.22,53457.03,101684.73,186414.5,541275.43,25799.31,36569.08,84570.46,125009.09,337978.38,1150753.52,57752.97,85054.73,206837.39,310188.35,773148.08,2615262.07,7598.95,30451.21,54609.07,103486.42,194448.42,568468.74,25872.37,37357.17,86068.92,130396.61,354958.19,1254211.55,1.771,2.297
1935,United States,43.39,30.99,15.63,11.67,5.8,1.95,12.4,15.36,3.96,5.87,3.85,44.49,32.28,16.68,12.63,6.39,2.19,12.21,15.61,4.04,6.24,4.2,60.04,15.85,12.53,5.98,5.6,52.43,17.32,16.89,6.76,6.61,41.75,18.38,26.64,6.8,6.43,35.74,17.43,32.41,7.74,6.68,25.32,14.87,46.03,7.39,6.4,14.24,11.42,64.77,5.18,4.39,73.79,14.96,3.2,4.24,3.81,66.23,16.99,4.99,5.15,6.64,59.33,21.17,9.75,4.06,5.69,45.88,19.91,19.17,8.08,6.96,30.82,16.59,36.71,8.49,7.39,2.35,3.11,4.1,4.5,4.76,3.46,0.41,2.09,2.88,4.24,5.41,3.85,5.13,7.49,8.57,10.08,9.12,0.46,2.62,4.11,7.03,10.58,53147.098,4575,46800,47761.43061,0.065135,13519.24,13796.97,58664.01,83792.73,211282.85,315553.22,783692.83,2631299.17,8503.15,33535.28,51920.2,107012.48,198518.32,578403.23,28336.32,40211.09,88649.11,130657.9,354411.57,1254739.15,61388.2,89086.38,230082.17,348625.47,881941.85,3018704.67,8509.05,33690.03,53837.44,111538.86,215296.38,644523.76,28467.07,41695.94,92398.77,141700.63,394926.36,1439474.08,1.757,2.322
1936,United States,44.77,32.65,17.64,13.37,6.69,2.23,12.12,15.02,4.27,6.68,4.45,46.59,34.64,19.29,14.86,7.57,2.54,11.96,15.35,4.43,7.29,5.03,56.48,17.01,15.69,4.7,6.12,48.03,18.5,21.51,5.01,6.95,36.13,19.02,33.67,4.77,6.41,30.71,17.62,39.78,5.42,6.47,21.1,14.52,53.48,4.89,6.01,10.79,11.31,70.28,3.41,4.21,72.25,15.87,3.28,3.98,4.63,63.38,18.59,6.93,3.72,7.39,52.94,23.35,14.71,2.76,6.23,40.15,20.67,26.31,5.94,6.92,26.15,16.1,45.25,5.61,6.89,4.33,5.17,6.33,6.73,6.72,4.38,2,3.78,5.04,6.73,7.85,6.82,8.41,11.32,12.54,13.93,11.37,2.23,4.75,7.21,11.1,15.23,53844.313,5413,52560,54483.57752,0.0657689,14842.09,15385.28,66451.56,96933.03,261775.05,396851.76,992557.38,3315910.28,9107.71,35970.09,55722.52,126698.34,247925.35,734407.06,30606.14,43631.91,103253.96,157613.76,446355.86,1615313.49,71685.82,106585.27,296755.02,457197.1,1163932.13,3903118.83,9129.66,36786.38,59042.83,136312.93,280513.35,859578.05,31300.7,46231.78,111089.45,178330.95,522431.94,1901366.43,1.728,2.374
1937,United States,43.35,31.38,16.45,12.42,6.16,2.02,11.97,14.93,4.04,6.25,4.15,44.23,32.27,17.15,13.02,6.49,2.17,11.96,15.12,4.13,6.53,4.32,59.6,15.84,15.75,3.79,5.03,53.79,16.76,20.34,3.91,5.21,36.27,18.42,34,4.87,6.43,31.66,16.76,40.1,4.97,6.51,22.6,12.5,54.3,4.43,6.17,12.46,7.2,72.54,3.15,4.65,74.03,13.56,4.34,3.49,4.57,71.57,15.07,6.47,2.93,3.96,50.38,23.51,15.34,4.59,6.17,40.51,20.92,26.24,5.48,6.85,27.53,15.08,45.42,5.06,6.91,1.65,1.87,2.49,2.53,2.35,1.71,1.04,1.18,2.38,2.71,2.67,2.54,3.06,4.44,4.77,5.06,4.63,1.16,1.48,3.4,4.49,5.27,54539.105,6350,57840,58544.47161,0.0681461,15562.51,15752.05,67460.16,97668.03,256009.98,386422.9,958834.26,3136682.22,9796.1,37252.3,58082.54,125597.05,243320.06,716851.15,32430.33,43542.05,103226.33,158226.07,443547.07,1513804.28,69673.55,101659.66,270137.31,410298.37,1023010.87,3425097.97,9760.77,37687.44,59540.25,129976.26,257120.24,756112.31,32809.14,44634.84,106825.54,167200.05,467839.65,1652997.53,1.744,2.345
1938,United States,43,30.18,14.73,10.82,5.16,1.67,12.82,15.45,3.91,5.66,3.49,44.07,31.34,15.75,11.78,5.88,2.19,12.73,15.59,3.98,5.89,3.69,63.09,16.59,11.5,3.9,4.92,58.22,17.36,15.31,4.04,5.07,42.3,20.08,26.17,5.15,6.3,37.93,19.01,31.35,5.32,6.39,29.37,15.6,44.25,4.84,5.95,18.94,9.46,63.65,3.39,4.56,73.96,14.87,3.01,3.59,4.57,72.11,14.99,5.83,3.07,4,54.22,23.01,12,4.69,6.07,45.52,22.04,19.92,5.75,6.77,34.09,18.38,35.46,5.49,6.59,1.97,2.42,3.6,4.05,5.36,8.77,0.91,1.27,2.35,2.82,3.64,3.48,4.48,7.35,8.69,12.69,21.87,1.01,1.59,3.37,4.7,7.23,55342.212,6204,52960,53870.77452,0.0668782,14308.92,14554.99,61529.61,86374.88,210761.49,309540.95,737727.64,2384527.79,9062.17,36684.33,55278.23,111982.04,202494.27,554749.84,31754.59,42179.09,93817.99,137580.37,351119.55,1055979.25,64150.89,91244.41,229312.77,342795.61,856395.75,3194110.52,9044.34,37057.36,56727.32,115829.93,214395.57,596649.67,32077.49,43284.79,97041.74,145666.45,377639.34,1414499.95,1.838,2.193
1939,United States,44.57,31.29,15.39,11.37,5.45,1.74,13.28,15.89,4.03,5.91,3.71,45.52,32.28,16.18,12.06,5.87,1.96,13.24,16.1,4.12,6.19,3.91,62.41,16.75,12.85,3.39,4.59,56.35,18.36,16.57,3.7,5.01,39.55,21.19,28.2,4.75,6.32,35.08,19.83,33.78,4.89,6.42,26.54,15.23,47.69,4.41,6.13,16.31,8.09,67.83,3.06,4.71,75.97,13.16,4.51,2.7,3.66,71.33,15.83,6.22,2.78,3.84,52.07,25,12.54,4.35,6.04,42.85,24.02,21.13,5.32,6.68,31.3,18.55,38.32,5.04,6.79,1.79,2.14,2.94,3.09,3.26,3.19,0.96,1.36,2.5,2.93,3.3,2.83,3.56,5.4,6.02,7.22,8.54,1.07,1.71,3.59,4.88,6.56,56181.362,7633,56480,57272.84949,0.0659274,15248.84,15462.9,67962.4,95416.9,234725.93,346615.95,831208.9,2655219.86,9391.78,40507.9,60589.64,122835.92,225467.71,628541.01,35816.81,47295.42,102660.67,151162.39,393662.69,1295499.64,70383.84,99824.49,250119.45,372895.96,907924.41,3036049.03,9360.57,40943.19,62250.75,127342.93,239138.85,671466.12,36201.7,48592.06,106427.43,160328.06,420547.2,1481308.76,1.821,2.218
1940,United States,44.43,31.29,15.73,11.66,5.57,1.77,13.14,15.55,4.07,6.09,3.8,45.29,32.22,16.48,12.33,6.01,2.04,13.07,15.74,4.14,6.33,3.96,63.38,16.8,12.68,2.83,4.31,55.17,19.63,16.86,3.36,4.98,39.37,22.41,27.94,4.1,6.18,35.37,21.03,33.18,4.17,6.25,27.18,16.47,46.63,3.74,5.97,16.31,9.45,66.88,2.74,4.62,81.94,10.39,3.24,1.63,2.8,69.86,17.04,6.55,2.68,3.87,50.76,26.34,13.04,3.87,5.99,42.75,25.14,21.04,4.56,6.5,32.18,19.71,37.31,4.21,6.59,1.52,1.88,2.59,2.76,3.08,3.87,0.65,1.16,2.08,2.46,2.71,2.5,3.22,4.9,5.54,7.06,10.28,0.72,1.46,2.99,4.1,5.4,57115,14665,60720,61477.87421,0.0665613,15972.03,16171.38,70958.34,99947.02,251303.65,372509.29,890152.3,2833497.71,9862.43,41969.65,62107.87,130098.02,243098.53,674225.03,39755.97,46833.24,107888.69,164077.19,428302.37,1368985.64,73245.24,104215.62,266473.18,398893.56,971119.89,3304805.3,9829.84,42274.87,63651.23,134052.8,255836.98,711821.51,40045.08,47997.03,111168.34,172674.9,452185.59,1596694.78,1.821,2.219
1941,United States,41.02,29.02,15.01,11.15,5.29,1.63,12,14.01,3.86,5.86,3.66,41.93,29.99,15.79,11.86,5.81,1.98,11.94,14.21,3.92,6.06,3.83,61.39,20.95,11.48,2.29,3.89,52.15,24.69,15.65,2.82,4.69,38.35,28.89,24.29,3.15,5.31,35.22,28.09,28.27,3.12,5.29,27.98,25.11,39.09,2.75,5.07,16.76,19.43,57.38,2.19,4.24,83.35,12.04,1.57,1.04,2,65.73,20.56,7.15,2.49,4.08,47.33,31.18,12.89,3.24,5.35,41.63,30.74,18.69,3.45,5.49,32.82,27.57,31.19,2.99,5.43,1.6,2.04,2.69,2.92,3.77,5.7,0.48,1.33,2.03,2.14,2.89,2.75,3.6,5.33,6.14,8.82,14.78,0.53,1.67,2.9,3.56,5.74,57392.484,25855,74880,75833.6511,0.0698893,18668.09,18905.84,76575.23,108339.17,280170.31,416237.66,987428.01,3041121.82,12233.96,44811.29,65381.39,144102.96,273440.08,759239.81,41126.19,50779.62,117821.44,183031.19,482665.4,1501751.46,79272.84,113404.55,298439.45,448518.08,1097767.96,3738022.27,12198.4,45141.13,67145.83,148360.82,286205.61,804406.37,41344.56,52150.01,121302.76,191575.99,511378.78,1845891.33,1.828,2.208
1942,United States,35.49,25.11,12.91,9.6,4.48,1.32,10.39,12.2,3.31,5.12,3.16,36.13,25.8,13.43,10.07,4.81,1.55,10.32,12.37,3.36,5.26,3.27,60.14,25.39,8.92,1.81,3.74,51.99,29.88,11.81,2.28,4.04,35.71,37.76,19.01,2.8,4.72,32.7,38.04,21.87,2.78,4.61,25.28,39.37,28.76,2.43,4.16,13.27,42.34,39.29,1.85,3.24,79.48,14.72,2.05,0.7,3.05,68.39,21.94,4.56,1.76,3.35,44.37,36.96,10.77,2.86,5.04,39.12,36.89,15.92,3.08,5,30.25,38.14,24.39,2.67,4.54,1.06,1.44,1.91,2.02,2.68,4.04,0.14,0.92,1.6,1.44,2.1,1.85,2.53,3.79,4.29,6.33,10.86,0.15,1.16,2.29,2.41,4.19,57736.224,36538,96880,97611.17235,0.0773379,21696.7,21860.45,77010.65,108949.52,280005.44,416360.5,971377.15,2867650.47,15550.7,45071.78,66185.54,143650.39,277606.34,760680.12,41856.42,50773.22,116538.31,183216.99,484061.36,1485176.45,78977.12,112812.82,293556.68,440128.03,1051835.69,3379125.32,15514.15,45141.42,67626.86,146985.34,287201.11,793247.96,41920.21,51878.9,119243.83,189549.43,504786.01,1750072.89,1.851,2.175
1943,United States,32.67,23.02,11.48,8.43,3.78,0.97,9.65,11.54,3.06,4.65,2.81,33.69,24.08,12.31,9.15,4.26,1.24,9.61,11.77,3.16,4.88,3.03,57.01,30.04,7.9,1.57,3.48,47.68,36.17,10.55,1.98,3.61,30,46.56,16.84,2.52,4.07,27.34,46.99,19.24,2.54,3.89,21.21,46.77,25.94,2.41,3.68,11.5,44.76,38.35,2.28,3.11,78.84,15.68,1.69,0.61,3.18,65.01,25.99,4.38,1.45,3.16,37.28,45.39,10.3,2.47,4.56,32.25,47.17,13.88,2.65,4.06,24.46,47.44,21.77,2.45,3.87,2.34,2.94,3.9,4.1,5.12,7.06,0.89,1.96,3.35,3.26,4.43,3.86,5.01,7.44,8.34,11.65,18.47,0.99,2.47,4.83,5.46,8.86,58249.516,43602,119920,121642.8668,0.0820922,25078.25,25438.54,81930.45,115464.09,288015.02,422762.22,948777.59,2439288.36,18761.34,48396.81,72326.35,153267.82,291258.38,783165.28,42724.93,55355.31,124435.7,196323.11,500978.98,1300190.73,85702.21,122525.25,313135.11,465414.86,1084412.83,3141977.76,18742.58,48879.16,74872.79,160855.36,310665.37,855794.5,43150.75,57304.24,130595.89,209404.42,547438.79,1674738.6,1.931,2.074
1944,United States,31.55,21.76,10.54,7.6,3.33,0.92,9.79,11.22,2.94,4.28,2.4,32.51,22.77,11.28,8.26,3.76,1.16,9.75,11.48,3.02,4.5,2.59,61.05,27.59,6.87,1.54,2.94,48.88,36,9.62,1.93,3.57,30.8,46.8,15.72,2.44,4.24,28.12,46.86,18.32,2.49,4.2,22.08,45.67,25.7,2.48,4.05,12.51,39.58,41.8,2.49,3.6,87.91,9.06,0.81,0.68,1.55,65.6,26.01,3.98,1.46,2.95,37.67,46.65,9.05,2.3,4.33,32.74,47.78,12.68,2.5,4.32,25.66,47.95,19.69,2.48,4.22,2.29,2.94,3.79,4.09,5.1,6.76,0.82,2.13,3,3.29,4.44,3.73,4.94,7.23,8.29,11.63,17.74,0.91,2.69,4.32,5.51,8.88,58656.204,46920,121393.5572,123166.5572,0.0835185,24779.86,25141.77,78177.64,107833.43,261146.72,376833.13,824530.58,2289884.46,18846.77,48521.86,69505.1,145460.3,264908.77,661713.48,46632.19,55301.22,128036.68,193783.33,474384.68,1316059.06,81742.27,114471.01,283622.71,415216.1,944226.65,2927098.64,18852.83,49013.53,72183.09,152029.31,282963.47,723907.54,47059.48,57376.8,133690.36,206791.77,518473.53,1680668.22,2.003,1.997
1945,United States,32.64,22.9,11.07,7.87,3.32,0.84,9.74,11.83,3.2,4.55,2.47,34.42,24.79,12.52,9.14,4.16,1.26,9.63,12.28,3.38,4.98,2.9,57.39,31.26,6.81,1.54,3.01,45.22,39.8,9.45,1.93,3.61,29.68,48.7,14.98,2.45,4.2,27.36,48.2,17.65,2.56,4.24,21.78,45.56,25.71,2.74,4.21,13.38,35.05,44.53,3.11,3.94,85.76,11.35,0.66,0.62,1.61,59.49,31.62,4.37,1.45,3.07,35.31,49.91,8.48,2.18,4.12,31.31,50.07,11.93,2.42,4.26,24.46,48.9,19.72,2.63,4.29,4.82,6.07,7.59,8.29,10.49,13.51,1.76,4.6,5.83,6.62,9.41,7.89,10.18,14.44,16.65,23.23,33.33,1.98,5.85,8.46,11.15,18.83,58997.356,49933,122236.4466,126405.4466,0.0854203,24255.32,25082.58,79180.51,111106.04,268535.41,381721.99,805002.64,2049366.78,18152.53,47254.99,71748.69,155348.82,275901.83,666739.95,44934.21,54823.43,136721.56,209063.4,471428.96,1151722.44,86342.54,124382.41,313928.3,458412.35,1043229.84,3168911.48,18275.92,48302.66,76995.94,169444.26,312207.97,807042.99,45831.24,58705.81,148804.82,236063.32,569400.08,1777048.66,2.097,1.911
1946,United States,34.62,24.66,11.76,8.28,3.43,0.92,9.96,12.9,3.48,4.85,2.52,36.7,26.77,13.28,9.61,4.39,1.47,9.93,13.49,3.66,5.22,2.92,53.97,33.55,7.84,1.52,3.11,43.36,40.59,10.51,1.89,3.64,31.51,45.24,16.64,2.38,4.23,29.26,44.12,19.8,2.52,4.31,23.9,38.72,29.95,2.88,4.54,15.1,24.41,52.48,3.58,4.44,80,16.28,1.3,0.6,1.81,53.96,36.44,5.03,1.46,3.12,36.81,47.88,9.23,2.04,4.04,32.93,47.81,12.84,2.28,4.16,26.83,43.49,22.44,2.65,4.58,6.16,7.11,8.06,8.67,11.63,16.68,3.73,6.22,6.58,6.45,9.64,9.71,11.75,15.59,17.89,26.23,40.03,4.22,7.96,9.58,10.86,19.27,59297.345,52817,134199.2227,140365.2227,0.0927103,24411.06,25532.66,84502.28,120384.3,287133.24,404283.68,837815.97,2236986.68,17734.25,48620.25,78697.06,169982.8,295900.61,682352.56,43791.68,56000.67,141190.14,210839.57,470181.12,1140021.96,93703.72,136678.31,338998.5,490861.96,1121328.22,3760546.03,17958.1,50729.13,86098.27,187135.04,333245.39,828081.8,45679.18,61251.33,155396.39,237386.95,570447.96,1915963.17,2.15,1.869
1947,United States,33.02,23.3,10.95,7.71,3.24,0.9,9.72,12.35,3.25,4.47,2.33,34.35,24.68,11.96,8.61,3.92,1.3,9.67,12.72,3.34,4.7,2.61,56.43,30.29,8.54,1.41,3.33,45.93,36.63,11.69,1.77,3.99,34.4,39.38,19.21,2.23,4.77,31.91,37.67,23.12,2.34,4.96,25.73,30.91,35.36,2.61,5.39,15.02,17.09,59.62,2.99,5.28,81.42,15.23,1.04,0.55,1.76,55.97,34.22,5.14,1.37,3.3,40.24,43.42,10.04,1.97,4.33,36.27,42.42,14.49,2.15,4.66,29.62,35.94,26.54,2.48,5.43,3.85,4.56,5.39,5.97,8.56,12.12,2.08,3.82,3.96,4.01,7.11,6.16,7.66,10.65,12.56,19.56,30.26,2.34,4.85,5.72,6.73,14.22,60118.458,55099,150261.7472,154579.7472,0.1060226,23574.48,24251.93,77836.29,109854.56,258231.02,363400.6,762798.74,2128526.06,17545.39,45818.02,72760.44,153061.44,263551.06,611051.26,40519.1,51096.19,126943.04,187931.33,415439.73,1066866.65,83300.25,119699.17,289933.18,417795.84,950241.76,3161278.63,17691.01,46901.32,77140.67,162070.53,284684.36,704571,41477.11,54172.21,134414.82,203000.92,479021.66,1584506.2,2.126,1.888
1948,United States,33.72,23.7,11.27,8.03,3.44,0.95,10.02,12.43,3.24,4.59,2.48,35.01,25.06,12.24,8.9,4.06,1.31,9.96,12.81,3.34,4.85,2.75,59.66,27.04,8.62,1.39,3.29,49.06,33.35,11.9,1.73,3.96,35.14,37.65,20.08,2.21,4.92,32.38,35.7,24.46,2.32,5.14,26.1,29.17,36.82,2.45,5.46,15.62,17.14,59.41,2.66,5.2,84.52,12.25,0.92,0.6,1.72,61.48,29.52,4.61,1.29,3.1,41.88,42.42,9.36,1.95,4.39,36.97,40.48,15.42,2.22,4.91,29.93,33.56,28.57,2.38,5.56,3.59,4.36,5.11,5.61,7.44,10.1,1.71,3.67,3.86,4.19,6.38,5.71,7.22,9.91,11.54,16.92,25.7,1.92,4.65,5.57,7.03,12.75,60825.466,52072,166778.8221,171141.8221,0.1142635,23996.5,24624.26,80917.73,113724.11,270437.49,385194.14,824794.23,2288908.93,17671.92,48111.34,74545.77,155680.83,275294.12,662114.82,42633.72,55676.89,129398.24,194737.48,443690.3,1201256.09,86218.16,123393.23,301464.93,438326.84,998548.8,3214694.89,17780.49,49043.1,78875.3,164603.02,298271.35,752310.34,43459.39,58910.55,136814.16,210991.12,504131.29,1687123.4,2.065,1.939
1949,United States,33.76,23.46,10.95,7.77,3.34,0.95,10.3,12.52,3.18,4.43,2.38,34.75,24.51,11.73,8.48,3.83,1.24,10.25,12.78,3.25,4.64,2.59,62.92,23.07,8.88,1.56,3.58,53.03,28.49,12.28,1.88,4.32,37.59,33.32,21.14,2.48,5.47,34.43,31.61,25.67,2.59,5.7,27.97,24.76,38.61,2.71,5.96,16.97,13.55,61.4,2.66,5.41,85.28,10.82,1.17,0.82,1.91,66.31,24.33,4.66,1.37,3.34,45.23,37.47,10.16,2.22,4.91,39.2,36.67,16.13,2.5,5.5,32.21,29.07,29.82,2.73,6.17,2.56,3.14,4.03,4.48,5.97,8.09,1.2,2.35,2.92,3.32,5.1,4.13,5.3,7.84,9.23,13.68,20.95,1.34,2.97,4.21,5.56,10.19,61536.662,51814,165005.5142,168146.5142,0.1131542,23697.03,24148.13,80008.53,111195.56,259389.28,368252.96,790711.36,2261717.79,17440.2,48821.5,74147.14,150525.59,262638.36,627266.2,43336.84,56680.11,124673.15,184625.92,422457.58,1160203.05,83917.14,118351.94,283184.1,409366.83,925203.92,3000404.89,17507.12,49482.34,77143.9,157001.37,280407.56,694626.03,43923.44,58970.92,130036.73,197117.07,467823.76,1539130.53,2.066,1.938
1950,United States,33.87,23.87,11.36,8.14,3.53,0.83,10,12.51,3.22,4.6,2.7,35.56,25.53,12.82,9.37,4.39,1.22,10.03,12.71,3.45,4.98,3.17,63.09,23.01,8.85,1.53,3.52,52.71,28.79,12.34,1.89,4.28,35.97,34.59,21.46,2.47,5.51,32.67,33.14,25.88,2.57,5.74,25.15,26.66,39.41,2.68,6.1,11.88,15,64.71,2.63,5.77,86.37,10.03,1.04,0.73,1.83,66.65,23.97,4.74,1.4,3.25,43.91,38.07,10.82,2.24,4.96,38,37.73,16.29,2.49,5.48,30.01,30.93,30.15,2.69,6.22,4.57,5.2,7.57,7.89,10.33,13.01,3.03,2.95,6.76,5.92,9.47,7.44,9.02,14.27,15.9,22.63,32.22,3.41,3.73,9.85,9.97,18.94,62446,53060,182539.3561,188313.3561,0.1142635,25582.58,26391.79,86651.01,122137.83,290619.77,416245.74,903525.88,2115431.89,18797.2,51164.19,80017.34,164993.8,294425.7,768869.66,46837.86,58266.68,134097.62,206808.26,467642.04,1039626.45,93858.11,134774.68,338330.54,494578.61,1158717.77,3219234.61,18895.54,52941.54,83885.71,182082.47,328543.81,929771.45,48464.92,61083.53,147986.32,230773.24,565505.76,1582088.96,2.03,1.971
